primaryID	secondaryID
CHEBI:15348	CHEBI:13709
CHEBI:15348	CHEBI:2399
CHEBI:15348	CHEBI:11581
CHEBI:15348	CHEBI:22184
CHEBI:15349	CHEBI:2400
CHEBI:15349	CHEBI:13710
CHEBI:15349	CHEBI:22183
CHEBI:15350	CHEBI:46262
CHEBI:15350	CHEBI:2407
CHEBI:15351	CHEBI:40470
CHEBI:15351	CHEBI:2408
CHEBI:15351	CHEBI:13712
CHEBI:15351	CHEBI:22192
CHEBI:15351	CHEBI:180918
CHEBI:15352	CHEBI:22196
CHEBI:15353	CHEBI:41133
CHEBI:15353	CHEBI:3137
CHEBI:15353	CHEBI:13917
CHEBI:15353	CHEBI:22904
CHEBI:15354	CHEBI:41524
CHEBI:15354	CHEBI:3665
CHEBI:15354	CHEBI:13985
CHEBI:15354	CHEBI:23212
CHEBI:15355	CHEBI:40559
CHEBI:15355	CHEBI:2416
CHEBI:15355	CHEBI:12686
CHEBI:15355	CHEBI:13715
CHEBI:15355	CHEBI:22197
CHEBI:15356	CHEBI:23508
CHEBI:15356	CHEBI:4050
CHEBI:15356	CHEBI:14061
CHEBI:15357	CHEBI:19487
CHEBI:15357	CHEBI:13716
CHEBI:15360	CHEBI:13718
CHEBI:15360	CHEBI:22202
CHEBI:15361	CHEBI:14987
CHEBI:15361	CHEBI:26462
CHEBI:15362	CHEBI:5797
CHEBI:15362	CHEBI:14418
CHEBI:15362	CHEBI:24667
CHEBI:15363	CHEBI:12468
CHEBI:15363	CHEBI:7205
CHEBI:15363	CHEBI:21612
CHEBI:15364	CHEBI:14908
CHEBI:15364	CHEBI:26312
CHEBI:15365	CHEBI:2890
CHEBI:15365	CHEBI:40705
CHEBI:15365	CHEBI:71414
CHEBI:15365	CHEBI:22188
CHEBI:15365	CHEBI:22203
CHEBI:15366	CHEBI:2387
CHEBI:15366	CHEBI:40486
CHEBI:15366	CHEBI:22169
CHEBI:15367	CHEBI:45376
CHEBI:15367	CHEBI:8815
CHEBI:15368	CHEBI:2434
CHEBI:15368	CHEBI:13720
CHEBI:15368	CHEBI:22214
CHEBI:15371	CHEBI:1650
CHEBI:15371	CHEBI:10739
CHEBI:15371	CHEBI:20179
CHEBI:15372	CHEBI:12074
CHEBI:15372	CHEBI:43063
CHEBI:15372	CHEBI:9480
CHEBI:15372	CHEBI:15219
CHEBI:15372	CHEBI:26902
CHEBI:15373	CHEBI:13904
CHEBI:15373	CHEBI:3107
CHEBI:15373	CHEBI:22880
CHEBI:15374	CHEBI:10740
CHEBI:15374	CHEBI:12053
CHEBI:15375	CHEBI:12244
CHEBI:15375	CHEBI:2250
CHEBI:15375	CHEBI:4555
CHEBI:15375	CHEBI:14144
CHEBI:15375	CHEBI:20767
CHEBI:15376	CHEBI:27028
CHEBI:15376	CHEBI:10741
CHEBI:15376	CHEBI:20554
CHEBI:15377	CHEBI:5585
CHEBI:15377	CHEBI:42857
CHEBI:15377	CHEBI:42043
CHEBI:15377	CHEBI:44292
CHEBI:15377	CHEBI:44819
CHEBI:15377	CHEBI:43228
CHEBI:15377	CHEBI:44701
CHEBI:15377	CHEBI:10743
CHEBI:15377	CHEBI:13352
CHEBI:15377	CHEBI:27313
CHEBI:15378	CHEBI:5584
CHEBI:15378	CHEBI:10744
CHEBI:15378	CHEBI:13357
CHEBI:15379	CHEBI:44742
CHEBI:15379	CHEBI:7860
CHEBI:15379	CHEBI:10745
CHEBI:15379	CHEBI:13416
CHEBI:15379	CHEBI:23833
CHEBI:15379	CHEBI:25366
CHEBI:15379	CHEBI:29097
CHEBI:15379	CHEBI:30491
CHEBI:15380	CHEBI:45541
CHEBI:15380	CHEBI:9310
CHEBI:15380	CHEBI:10746
CHEBI:15380	CHEBI:15127
CHEBI:15380	CHEBI:26811
CHEBI:15382	CHEBI:27
CHEBI:15382	CHEBI:10748
CHEBI:15382	CHEBI:18433
CHEBI:15382	CHEBI:10749
CHEBI:15383	CHEBI:10765
CHEBI:15383	CHEBI:10778
CHEBI:15383	CHEBI:97
CHEBI:15383	CHEBI:10766
CHEBI:15383	CHEBI:18468
CHEBI:15384	CHEBI:6463
CHEBI:15384	CHEBI:18466
CHEBI:15384	CHEBI:14506
CHEBI:15385	CHEBI:18458
CHEBI:15385	CHEBI:10750
CHEBI:15385	CHEBI:56
CHEBI:15386	CHEBI:10751
CHEBI:15386	CHEBI:54
CHEBI:15387	CHEBI:55
CHEBI:15387	CHEBI:10752
CHEBI:15387	CHEBI:18445
CHEBI:15388	CHEBI:59
CHEBI:15388	CHEBI:10753
CHEBI:15389	CHEBI:10769
CHEBI:15389	CHEBI:18497
CHEBI:15389	CHEBI:133
CHEBI:15390	CHEBI:12
CHEBI:15390	CHEBI:10754
CHEBI:15390	CHEBI:18438
CHEBI:15391	CHEBI:82
CHEBI:15391	CHEBI:18477
CHEBI:15391	CHEBI:10772
CHEBI:15392	CHEBI:10755
CHEBI:15392	CHEBI:18439
CHEBI:15392	CHEBI:19384
CHEBI:15392	CHEBI:13
CHEBI:15393	CHEBI:14
CHEBI:15393	CHEBI:10756
CHEBI:15393	CHEBI:18440
CHEBI:15394	CHEBI:83
CHEBI:15394	CHEBI:18478
CHEBI:15394	CHEBI:10773
CHEBI:15395	CHEBI:18441
CHEBI:15395	CHEBI:41266
CHEBI:15395	CHEBI:10757
CHEBI:15395	CHEBI:15
CHEBI:15396	CHEBI:41334
CHEBI:15396	CHEBI:16
CHEBI:15396	CHEBI:10758
CHEBI:15396	CHEBI:18442
CHEBI:15397	CHEBI:85
CHEBI:15397	CHEBI:10774
CHEBI:15397	CHEBI:18479
CHEBI:15398	CHEBI:18448
CHEBI:15398	CHEBI:41399
CHEBI:15398	CHEBI:57
CHEBI:15398	CHEBI:10762
CHEBI:15399	CHEBI:10759
CHEBI:15399	CHEBI:5
CHEBI:15400	CHEBI:10775
CHEBI:15400	CHEBI:18480
CHEBI:15400	CHEBI:86
CHEBI:15401	CHEBI:10761
CHEBI:15401	CHEBI:4567
CHEBI:15401	CHEBI:14152
CHEBI:15401	CHEBI:23748
CHEBI:15402	CHEBI:34
CHEBI:15402	CHEBI:10763
CHEBI:15402	CHEBI:18452
CHEBI:15403	CHEBI:46
CHEBI:15403	CHEBI:10764
CHEBI:15403	CHEBI:18455
CHEBI:15404	CHEBI:10767
CHEBI:15404	CHEBI:18469
CHEBI:15405	CHEBI:131
CHEBI:15405	CHEBI:10768
CHEBI:15405	CHEBI:18482
CHEBI:15406	CHEBI:134
CHEBI:15406	CHEBI:10770
CHEBI:15406	CHEBI:18498
CHEBI:15407	CHEBI:4801
CHEBI:15407	CHEBI:10776
CHEBI:15407	CHEBI:18483
CHEBI:15407	CHEBI:132176
CHEBI:15408	CHEBI:94
CHEBI:15408	CHEBI:10777
CHEBI:15408	CHEBI:18486
CHEBI:15409	CHEBI:101
CHEBI:15409	CHEBI:10779
CHEBI:15409	CHEBI:18493
CHEBI:15410	CHEBI:10780
CHEBI:15410	CHEBI:18494
CHEBI:15410	CHEBI:102
CHEBI:15411	CHEBI:103
CHEBI:15411	CHEBI:10781
CHEBI:15411	CHEBI:18495
CHEBI:15412	CHEBI:18804
CHEBI:15412	CHEBI:121
CHEBI:15412	CHEBI:11076
CHEBI:15412	CHEBI:18499
CHEBI:15412	CHEBI:10783
CHEBI:15413	CHEBI:14641
CHEBI:15413	CHEBI:19219
CHEBI:15413	CHEBI:6055
CHEBI:15413	CHEBI:10785
CHEBI:15414	CHEBI:45607
CHEBI:15414	CHEBI:10833
CHEBI:15414	CHEBI:12742
CHEBI:15414	CHEBI:12760
CHEBI:15414	CHEBI:12757
CHEBI:15414	CHEBI:22036
CHEBI:15414	CHEBI:10786
CHEBI:15414	CHEBI:8946
CHEBI:15414	CHEBI:527887
CHEBI:15415	CHEBI:10551
CHEBI:15415	CHEBI:10788
CHEBI:15415	CHEBI:12817
CHEBI:15415	CHEBI:23920
CHEBI:15416	CHEBI:10839
